Network,Subgraph Count,Unique Indexers
Ethereum (Mainnet),"2,157",73
base,"1,398",37
bsc,"1,234",28
arbitrum-one,"1,198",62
Polygon (Matic),"1,154",43
optimism,512,39
avalanche,393,34
sepolia,377,6
zksync-era,376,6
linea,318,17
scroll,294,26
gnosis,253,41
fantom,245,20
arbitrum-sepolia,235,10
chapel,159,4
celo,159,16
base-sepolia,149,7
polygon-zkevm,135,7
blast-mainnet,118,6
sonic,113,10
fuse,71,11
moonbeam,68,9
xdai,66,10
polygon-amoy,62,3
mode-mainnet,54,5
fuji,53,3
moonriver,53,3
monad-testnet,52,4
scroll-sepolia,45,1
optimism-sepolia,44,5
soneium,42,4
near-mainnet,40,1
solana-mainnet-beta,40,4
unichain,37,1
aurora,34,1
berachain,34,1
fantom-testnet,32,1
harmony,32,1
boba,30,4
kaia,29,1
abstract,28,1
blast-testnet,26,3
near-testnet,25,1
sei-mainnet,25,1
holesky,23,2
xlayer-mainnet,23,3
celo-alfajores,21,1
etherlink-mainnet,20,1
solana-devnet,20,2
soneium-testnet,18,3
linea-sepolia,16,1
rootstock,15,3
hemi,14,1
zksync-era-sepolia,14,1
mumbai,14,1
lens,11,1
rootstock-testnet,11,1
astar-zkevm-mainnet,11,1
vana,9,1
abstract-testnet,9,1
chiliz,8,1
goerli,8,1
eos,8,2
starknet-mainnet,8,2
hoodi,8,1
ink,8,1
iotex,7,1
aurora-testnet,7,1
etherlink-testnet,6,1
boba-bnb,6,1
injective-mainnet,5,0
mbase,5,1
fraxtal,5,1
injective,4,1
zetachain,4,1
mint,4,1
peaq,4,1
neox-testnet,4,1
megaeth-testnet,4,1
wax,4,2
gravity-mainnet,4,1
base-testnet,4,0
sei-atlantic,4,1
xlayer-sepolia,4,1
vana-moksha,3,1
mode-sepolia,3,1
corn,3,1
cosmoshub-4,3,0
unichain-testnet,3,3
botanix-testnet,3,1
lens-testnet,3,1
neox,3,1
boba-bnb-testnet,2,1
solana-mainnet,2,0
mint-sepolia,2,1
sei-testnet,2,0
arbitrum-goerli,2,0
boba-sepolia,2,0
swellchain,2,1
osmosis-1,2,0
boba-testnet,2,1
kylin,2,2
berachain-bepolia,2,0
arweave-mainnet,2,1
hemi-sepolia,2,1
arbitrum,2,0
arbitrum-nova,2,1
joc-testnet,2,1
mammothon-g2,1,0
iotex-testnet,1,1
zkyoto-testnet,1,0
gnosis-beacon,1,1
autonomys-taurus,1,1
chiado-beacon,1,1
gnosis-chiado,1,1
ink-sepolia,1,1
polygon-zkevm-testnet,1,0
viction,1,1
stellar,1,1
beacon,1,2
sepolia-beacon,1,1
apechain-curtis,1,1
chiliz-testnet,1,1
geo,1,0
zksync-era-testnet,1,1
btc,1,0
holesky-beacon,1,1
linea-goerli,1,1
apechain,1,1
fuse-testnet,1,1
polygon-zkevm-cardona,1,1
